feature,coefficient,abs_coef,feature_clean
district_大安區,103970.95342408576,103970.95342408576,大安區
district_北投區,-71645.96979897395,71645.96979897395,北投區
district_萬華區,-57614.47468768485,57614.47468768485,萬華區
district_文山區,-56575.97700159994,56575.97700159994,文山區
district_南港區,-42129.19459642895,42129.19459642895,南港區
building_type_華廈(10層含以下有電梯),-35910.27961631649,35910.27961631649,華廈(10層含以下有電梯)
district_信義區,28853.56159238972,28853.56159238972,信義區
log_area,-28759.384918041796,28759.384918041796,log_area
district_中正區,22821.336431166194,22821.336431166194,中正區
district_士林區,-22342.19114421708,22342.19114421708,士林區
area_ratio,21768.382777439034,21768.382777439034,area_ratio
district_內湖區,-19755.408691720924,19755.408691720924,內湖區
building_type_公寓(5樓含以下無電梯),-17360.292339498126,17360.292339498126,公寓(5樓含以下無電梯)
district_大同區,-7383.542398562693,7383.542398562693,大同區
time_index,-6278.229877657848,6278.229877657848,time_index
has_parking,-5655.908600387448,5655.908600387448,has_parking
building_age,-3140.9271282411305,3140.9271282411305,building_age
district_松山區,2293.0819671171557,2293.0819671171557,松山區
total_floors,-505.0239764453287,505.0239764453287,total_floors
parking_area,365.36605633422033,365.36605633422033,parking_area
